country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2
Africa,1750,0.022,0.0,0.022,0.0,0.0
Africa,1751,0.022,0.0,0.022,0.0,0.0
Africa,1752,0.022,0.0,0.022,0.0,0.0
Africa,1753,0.022,0.0,0.022,0.0,0.0
Africa,1754,0.022,0.0,0.022,0.0,0.0
Africa,1755,0.022,0.0,0.022,0.0,0.0
Africa,1756,0.022,0.0,0.022,0.0,0.0
Africa,1757,0.022,0.0,0.022,0.0,0.0
Africa,1758,0.022,0.0,0.022,0.0,0.0
Africa,1759,0.022,0.0,0.022,0.0,0.0
Africa,1760,0.022,0.0,0.022,0.0,0.0
Africa,1761,0.022,0.0,0.022,0.0,0.0
Africa,1762,0.022,0.0,0.022,0.0,0.0
Africa,1763,0.022,0.0,0.022,0.0,0.0
Africa,1764,0.022,0.0,0.022,0.0,0.0
Africa,1765,0.022,0.0,0.022,0.0,0.0
Africa,1766,0.022,0.0,0.022,0.0,0.0
Africa,1767,0.022,0.0,0.022,0.0,0.0
Africa,1768,0.022,0.0,0.022,0.0,0.0
Africa,1769,0.022,0.0,0.022,0.0,0.0
Africa,1770,0.022,0.0,0.022,0.0,0.0
Africa,1771,0.022,0.0,0.022,0.0,0.0
Africa,1772,0.022,0.0,0.022,0.0,0.0
Africa,1773,0.022,0.0,0.022,0.0,0.0
Africa,1774,0.022,0.0,0.022,0.0,0.0
Africa,1775,0.022,0.0,0.022,0.0,0.0
Africa,1776,0.022,0.0,0.022,0.0,0.0
Africa,1777,0.022,0.0,0.022,0.0,0.0
Africa,1778,0.022,0.0,0.022,0.0,0.0
Africa,1779,0.022,0.0,0.022,0.0,0.0
Africa,1780,0.022,0.0,0.022,0.0,0.0
Africa,1781,0.022,0.0,0.022,0.0,0.0
Africa,1782,0.022,0.0,0.022,0.0,0.0
Africa,1783,0.022,0.0,0.022,0.0,0.0
Africa,1784,0.022,0.0,0.022,0.0,0.0
Africa,1785,0.022,0.0,0.022,0.0,0.0
Africa,1786,0.022,0.0,0.022,0.0,0.0
Africa,1787,0.022,0.0,0.022,0.0,0.0
Africa,1788,0.022,0.0,0.022,0.0,0.0
Africa,1789,0.022,0.0,0.022,0.0,0.0
Africa,1790,0.022,0.0,0.022,0.0,0.0
Africa,1791,0.022,0.0,0.022,0.0,0.0
Africa,1792,0.022,0.0,0.022,0.0,0.0
Africa,1793,0.022,0.0,0.022,0.0,0.0
Africa,1794,0.022,0.0,0.022,0.0,0.0
Africa,1795,0.022,0.0,0.022,0.0,0.0
Africa,1796,0.022,0.0,0.022,0.0,0.0
Africa,1797,0.022,0.0,0.022,0.0,0.0
Africa,1798,0.022,0.0,0.022,0.0,0.0
Africa,1799,0.022,0.0,0.022,0.0,0.0
Africa,1800,0.022,0.0,0.022,0.0,0.0
Africa,1801,0.022,0.0,0.022,0.0,0.0
Africa,1802,0.022,0.0,0.022,0.0,0.0
Africa,1803,0.022,0.0,0.022,0.0,0.0
Africa,1804,0.022,0.0,0.022,0.0,0.0
Africa,1805,0.022,0.0,0.022,0.0,0.0
Africa,1806,0.022,0.0,0.022,0.0,0.0
Africa,1807,0.022,0.0,0.022,0.0,0.0
Africa,1808,0.022,0.0,0.022,0.0,0.0
Africa,1809,0.022,0.0,0.022,0.0,0.0
Africa,1810,0.022,0.0,0.022,0.0,0.0
Africa,1811,0.022,0.0,0.022,0.0,0.0
Africa,1812,0.022,0.0,0.022,0.0,0.0
Africa,1813,0.022,0.0,0.022,0.0,0.0
Africa,1814,0.022,0.0,0.022,0.0,0.0
Africa,1815,0.022,0.0,0.022,0.0,0.0
Africa,1816,0.022,0.0,0.022,0.0,0.0
Africa,1817,0.022,0.0,0.022,0.0,0.0
Africa,1818,0.022,0.0,0.022,0.0,0.0
Africa,1819,0.022,0.0,0.022,0.0,0.0
Africa,1820,0.022,0.0,0.022,0.0,0.0
Africa,1821,0.022,0.0,0.022,0.0,0.0
Africa,1822,0.022,0.0,0.022,0.0,0.0
Africa,1823,0.022,0.0,0.022,0.0,0.0
Africa,1824,0.022,0.0,0.022,0.0,0.0
Africa,1825,0.022,0.0,0.022,0.0,0.0
Africa,1826,0.022,0.0,0.022,0.0,0.0
Africa,1827,0.022,0.0,0.022,0.0,0.0
Africa,1828,0.022,0.0,0.022,0.0,0.0
Africa,1829,0.022,0.0,0.022,0.0,0.0
Africa,1830,0.022,0.0,0.022,0.0,0.0
Africa,1831,0.022,0.0,0.022,0.0,0.0
Africa,1832,0.022,0.0,0.022,0.0,0.0
Africa,1833,0.022,0.0,0.022,0.0,0.0
Africa,1834,0.022,0.0,0.022,0.0,0.0
Africa,1835,0.022,0.0,0.022,0.0,0.0
Africa,1836,0.022,0.0,0.022,0.0,0.0
Africa,1837,0.022,0.0,0.022,0.0,0.0
Africa,1838,0.022,0.0,0.022,0.0,0.0
Africa,1839,0.022,0.0,0.022,0.0,0.0
Africa,1840,0.022,0.0,0.022,0.0,0.0
Africa,1841,0.022,0.0,0.022,0.0,0.0
Africa,1842,0.022,0.0,0.022,0.0,0.0
Africa,1843,0.022,0.0,0.022,0.0,0.0
Africa,1844,0.022,0.0,0.022,0.0,0.0
Africa,1845,0.022,0.0,0.022,0.0,0.0
Africa,1846,0.022,0.0,0.022,0.0,0.0
Africa,1847,0.022,0.0,0.022,0.0,0.0
Africa,1848,0.022,0.0,0.022,0.0,0.0
Africa,1849,0.022,0.0,0.022,0.0,0.0
Africa,1850,0.022,0.0,0.022,0.0,0.0
Africa,1851,0.022,0.0,0.022,0.0,0.0
Africa,1852,0.022,0.0,0.022,0.0,0.0
Africa,1853,0.022,0.0,0.022,0.0,0.0
Africa,1854,0.022,0.0,0.022,0.0,0.0
Africa,1855,0.022,0.0,0.022,0.0,0.0
Africa,1856,0.022,0.0,0.022,0.0,0.0
Africa,1857,0.022,0.0,0.022,0.0,0.0
Africa,1858,0.022,0.0,0.022,0.0,0.0
Africa,1859,0.022,0.0,0.022,0.0,0.0
Africa,1860,0.022,0.0,0.022,0.0,0.0
Africa,1861,0.022,0.0,0.022,0.0,0.0
Africa,1862,0.022,0.0,0.022,0.0,0.0
Africa,1863,0.022,0.0,0.022,0.0,0.0
Africa,1864,0.022,0.0,0.022,0.0,0.0
Africa,1865,0.022,0.0,0.022,0.0,0.0
Africa,1866,0.022,0.0,0.022,0.0,0.0
Africa,1867,0.022,0.0,0.022,0.0,0.0
Africa,1868,0.022,0.0,0.022,0.0,0.0
Africa,1869,0.022,0.0,0.022,0.0,0.0
Africa,1870,0.022,0.0,0.022,0.0,0.0
Africa,1871,0.022,0.0,0.022,0.0,0.0
Africa,1872,0.022,0.0,0.022,0.0,0.0
Africa,1873,0.022,0.0,0.022,0.0,0.0
Africa,1874,0.022,0.0,0.022,0.0,0.0
Africa,1875,0.022,0.0,0.022,0.0,0.0
Africa,1876,0.022,0.0,0.022,0.0,0.0
Africa,1877,0.022,0.0,0.022,0.0,0.0
Africa,1878,0.022,0.0,0.022,0.0,0.0
Africa,1879,0.022,0.0,0.022,0.0,0.0
Africa,1880,0.022,0.0,0.022,0.0,0.0
Africa,1881,0.022,0.0,0.022,0.0,0.0
Africa,1882,0.022,0.0,0.022,0.0,0.0
Africa,1883,0.022,0.0,0.022,0.0,0.0
Africa,1884,0.022,0.0,0.022,0.0,0.0
Africa,1885,0.037,0.0,0.037,0.0,0.0
Africa,1886,0.048,0.0,0.048,0.0,0.0
Africa,1887,0.048,0.0,0.048,0.0,0.0
Africa,1888,0.081,0.001,0.081,0.0,0.0
Africa,1889,0.132,0.001,0.132,0.0,0.0
Africa,1890,0.297,0.002,0.297,0.0,0.0
Africa,1891,0.297,0.002,0.297,0.0,0.0
Africa,1892,0.48,0.004,0.48,0.0,0.0
Africa,1893,1.799,0.013,1.799,0.0,0.0
Africa,1894,2.433,0.018,2.433,0.0,0.0
Africa,1895,3.338,0.024,3.338,0.0,0.0
Africa,1896,4.258,0.031,4.258,0.0,0.0
Africa,1897,4.778,0.035,4.778,0.0,0.0
Africa,1898,6.049,0.044,6.049,0.0,0.0
Africa,1899,5.518,0.04,5.518,0.0,0.0
Africa,1900,2.33,0.017,2.33,0.0,0.0
Africa,1901,3.909,0.028,3.909,0.0,0.0
Africa,1902,5.826,0.042,5.826,0.0,0.0
Africa,1903,7.896,0.056,7.896,0.0,0.0
Africa,1904,8.911,0.063,8.911,0.0,0.0
Africa,1905,10.263,0.073,10.263,0.0,0.0
Africa,1906,11.717,0.083,11.717,0.0,0.0
Africa,1907,12.93,0.091,12.93,0.0,0.0
Africa,1908,13.403,0.094,13.403,0.0,0.0
Africa,1909,15.385,0.107,15.385,0.0,0.0
Africa,1910,17.411,0.121,17.411,0.0,0.0
Africa,1911,16.865,0.117,16.854,0.011,0.0
Africa,1912,17.954,0.124,17.869,0.084,0.0
Africa,1913,19.606,0.135,19.566,0.04,0.0
Africa,1914,19.551,0.134,19.243,0.308,0.0
